"","Participant","PhaseOffset","Frequency","AvgCorrect","AvgRT"
"131","1011","270","4 Hz",0.6,3.68776030071894
"132","1011","270","10.4721 Hz",0.4,3.92703469006228
"133","1012","0","1.652 Hz",0.5,6.64364149641187
"134","1012","0","4 Hz",0.3125,5.98015489529644
"135","1012","0","10.4721 Hz",0.5625,6.34538881690241
"136","1012","90","1.652 Hz",0.6,7.20595209386666
"137","1012","90","4 Hz",0.2,7.08498746245168
"138","1012","90","10.4721 Hz",0.4,6.90567055388819
"139","1012","180","1.652 Hz",0.666666666666667,5.67098364319342
"140","1012","180","4 Hz",0.166666666666667,7.43012081340809
"141","1012","180","10.4721 Hz",0.5,6.07578980561811
"142","1012","270","1.652 Hz",0.4,7.33007406610996
"143","1012","270","4 Hz",0.4,5.00327512465883
"144","1012","270","10.4721 Hz",0.6,4.28797836063895
"145","1013","0","1.652 Hz",0.4375,4.86846771104683
"146","1013","0","4 Hz",0.5625,3.99253203659828
"147","1013","0","10.4721 Hz",0.6875,4.19816056849231
"148","1013","90","1.652 Hz",0.4,3.55101228519343
"149","1013","90","4 Hz",0.4,3.78084851989988
"150","1013","90","10.4721 Hz",0.8,5.10622868338833
"151","1013","180","1.652 Hz",0.666666666666667,4.45121860295573
"152","1013","180","4 Hz",0.333333333333333,4.20444228650497
"153","1013","180","10.4721 Hz",0.333333333333333,4.0763060276416
"154","1013","270","1.652 Hz",0.2,3.78353617471876
"155","1013","270","4 Hz",0.8,3.69448453915538
"156","1013","270","10.4721 Hz",0.6,4.45929333977401
"157","1014","0","1.652 Hz",0.75,5.10211391562552
"158","1014","0","4 Hz",0.6875,4.42638225353221
"159","1014","0","10.4721 Hz",0.8125,4.25506061470878
"160","1014","90","1.652 Hz",0.6,5.01132734310813
"161","1014","90","4 Hz",0.4,3.98007540934486
"162","1014","90","10.4721 Hz",0.8,5.69567239818862
"163","1014","180","1.652 Hz",0.333333333333333,6.70754731599785
"164","1014","180","4 Hz",0.5,4.47501678563034
"165","1014","180","10.4721 Hz",0.666666666666667,5.36549490656277
"166","1014","270","1.652 Hz",0.8,4.51685433482053
"167","1014","270","4 Hz",0.6,5.19060971954605
"168","1014","270","10.4721 Hz",0.4,3.92697945062537
"169","1015","0","1.652 Hz",0.375,5.18710664544415
"170","1015","0","4 Hz",0.375,5.27715112299484
"171","1015","0","10.4721 Hz",0.3125,5.80875243482296
"172","1015","90","1.652 Hz",0.4,6.00396009359975
"173","1015","90","4 Hz",0.2,4.28361275529023
"174","1015","90","10.4721 Hz",0.6,6.83365844103974
"175","1015","180","1.652 Hz",0.166666666666667,5.54788654846682
"176","1015","180","4 Hz",0.333333333333333,5.9313326094804
"177","1015","180","10.4721 Hz",0.333333333333333,5.94829448513337
"178","1015","270","1.652 Hz",0.4,4.63304555502255
"179","1015","270","4 Hz",0,5.43056159182452
"180","1015","270","10.4721 Hz",0,4.59675300820964
"181","1016","0","1.652 Hz",0.375,9.0762361671259
"182","1016","0","4 Hz",0.5625,10.5825536675147
"183","1016","0","10.4721 Hz",0.5625,7.43981383029313
"184","1016","90","1.652 Hz",0.4,7.86526282044361
"185","1016","90","4 Hz",0.4,7.52649581886362
"186","1016","90","10.4721 Hz",0.8,5.54456865099491
"187","1016","180","1.652 Hz",0.166666666666667,8.97329047801516
"188","1016","180","4 Hz",0.5,8.74093950094538
"189","1016","180","10.4721 Hz",0.333333333333333,10.9678884843791
"190","1016","270","1.652 Hz",0.2,10.9349405693123
"191","1016","270","4 Hz",0.4,8.55006373663201
"192","1016","270","10.4721 Hz",0.4,11.0775742706028
"193","1017","0","1.652 Hz",0.5625,3.48892977680225
"194","1017","0","4 Hz",0.1875,4.02709880779003
"195","1017","0","10.4721 Hz",0.1875,4.1336348208788
"196","1017","90","1.652 Hz",0.4,3.83310067370767
"197","1017","90","4 Hz",0.2,3.7030089189182
"198","1017","90","10.4721 Hz",1,4.22526337585878
"199","1017","180","1.652 Hz",0.166666666666667,3.9779981552565
"200","1017","180","4 Hz",0.333333333333333,3.85585175224697
"201","1017","180","10.4721 Hz",0.5,3.95253257694033
"202","1017","270","1.652 Hz",0,3.98087894687196
"203","1017","270","4 Hz",0.2,4.02388981573749
"204","1017","270","10.4721 Hz",0.4,4.57868905061623
"205","1018","0","1.652 Hz",0.375,5.01933298916992
"206","1018","0","4 Hz",0.4375,5.37091098046221
"207","1018","0","10.4721 Hz",0.625,5.1221536789526
"208","1018","90","1.652 Hz",0.6,4.49736435478553
"209","1018","90","4 Hz",0.6,5.66173836374655
"210","1018","90","10.4721 Hz",0.4,6.34509907027241
"211","1018","180","1.652 Hz",0.333333333333333,4.9641551944466
"212","1018","180","4 Hz",0.166666666666667,4.78197404588961
"213","1018","180","10.4721 Hz",0.666666666666667,5.21475098037627
"214","1018","270","1.652 Hz",0.6,5.15835568823386
"215","1018","270","4 Hz",0.2,5.59236065854784
"216","1018","270","10.4721 Hz",0.6,5.22161956576165
"217","1019","0","1.652 Hz",0.375,4.08011881232232
"218","1019","0","4 Hz",0.375,4.29094264274318
"219","1019","0","10.4721 Hz",0.375,5.19457936305844
"220","1019","90","1.652 Hz",0.4,4.2975501162
"221","1019","90","4 Hz",0.2,3.67776981212664
"222","1019","90","10.4721 Hz",0.6,4.70357857928611
"223","1019","180","1.652 Hz",0.666666666666667,4.30926524213282
"224","1019","180","4 Hz",0.5,4.22336581595785
"225","1019","180","10.4721 Hz",0.5,4.6378998029395
"226","1019","270","1.652 Hz",0,5.10260213934817
"227","1019","270","4 Hz",0.4,4.04096580259502
"228","1019","270","10.4721 Hz",0.2,3.9794802724151
"229","1020","0","1.652 Hz",0.5,4.78875279932254
"230","1020","0","4 Hz",0.375,3.92487226257799
"231","1020","0","10.4721 Hz",0.3125,5.03801697162998
"232","1020","90","1.652 Hz",0.4,4.43671339277644
"233","1020","90","4 Hz",0.2,4.98940525851212
"234","1020","90","10.4721 Hz",0.6,4.00767049288843
"235","1020","180","1.652 Hz",0.166666666666667,4.44155431878365
"236","1020","180","4 Hz",0.333333333333333,4.83900372619974
"237","1020","180","10.4721 Hz",0.166666666666667,5.92835908808047
"238","1020","270","1.652 Hz",0,4.17879482051358
"239","1020","270","4 Hz",0.6,3.52266878285445
"240","1020","270","10.4721 Hz",0.4,3.85446855288465
"241","1021","0","1.652 Hz",0.375,4.41994887859619
"242","1021","0","4 Hz",0.6875,5.35023383179214
